0,The Godfather,Francis Ford Coppola,1972,175
1,Citizen Kane,Orson Welles,1941,119
2,Pulp Fiction,Quentin Tarantino,1994,154
3,Schindler's List,Steven Spielberg,1993,195
4,2001: A Space Odyssey,Stanley Kubrick,1968,149
5,Casablanca,Michael Curtiz,1942,102
6,The Shawshank Redemption,Frank Darabont,1994,142
7,Raging Bull,Martin Scorsese,1980,129
8,Vertigo,Alfred Hitchcock,1958,128
9,Gone with the Wind,Victor Fleming,1939,221
10,The Wizard of Oz,Victor Fleming,1939,102
11,One Flew Over the Cuckoo's Nest,Miloš Forman,1975,133
12,Lawrence of Arabia,David Lean,1962,228
13,The Graduate,Mike Nichols,1967,106
14,Star Wars: A New Hope,George Lucas,1977,121
15,Psycho,Alfred Hitchcock,1960,109
16,Sunset Boulevard,Billy Wilder,1950,110
17,The Sound of Music,Robert Wise,1965,174
18,12 Angry Men,Sidney Lumet,1957,96
19,To Kill a Mockingbird,Robert Mulligan,1962,129
20,Apocalypse Now,Francis Ford Coppola,1979,153
21,Dr. Strangelove,Stanley Kubrick,1964,95
22,The Good the Bad and the Ugly,Sergio Leone,1966,161
23,Taxi Driver,Martin Scorsese,1976,114
24,The Great Dictator,Charlie Chaplin,1940,125
25,It's a Wonderful Life,Frank Capra,1946,130
26,Amadeus,Miloš Forman,1984,160
27,The Godfather Part II,Francis Ford Coppola,1974,202
28,Forrest Gump,Robert Zemeckis,1994,142
29,Chinatown,Roman Polanski,1974,130
30,Saving Private Ryan,Steven Spielberg,1998,169
31,City Lights,Charlie Chaplin,1931,87
32,Titanic,James Cameron,1997,195
33,Raiders of the Lost Ark,Steven Spielberg,1981,115
34,A Clockwork Orange,Stanley Kubrick,1971,136
35,Singin' in the Rain:Stanley Donen,Gene Kelly,1952,103
36,The Bridge on the River Kwai,David Lean,1957,161
37,Some Like It Hot,Billy Wilder,1959,121
38,Ben-Hur,William Wyler,1959,212
39,Fargo:Joel Coen,Ethan Coen,1996,98
40,The Silence of the Lambs,Jonathan Demme,1991,118
41,The Matrix,Lana Wachowski & Lilly Wachowski,1999,136
42,Gladiator,Ridley Scott,2000,155
43,Braveheart,Mel Gibson,1995,178
44,Fight Club,David Fincher,1999,139
45,The Dark Knight,Christopher Nolan,2008,152
46,Inception,Christopher Nolan,2010,148
47,Goodfellas,Martin Scorsese,1990,146
48,The Empire Strikes Back,Irvin Kershner,1980,124
49,Jaws,Steven Spielberg,1975,124
